Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Hull,Southampton,8.0,3.0,2,4,0,1,5.0,-2,-1
2016_2017,Leicester,West Brom,4.0,8.0,2,1,1,0,-4.0,1,1
2016_2017,Liverpool,Watford,8.0,8.0,2,1,0,0,0.0,1,0
2016_2017,Swansea,Man United,6.0,3.0,1,4,0,1,3.0,-3,-1
2016_2017,Crystal Palace,Man City,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Everton,Swansea,14.0,13.0,1,1,0,0,1.0,0,0
2016_2017,Man United,Arsenal,13.0,13.0,1,1,0,0,0.0,0,0
2016_2017,Southampton,Liverpool,13.0,13.0,1,1,0,0,0.0,0,0
2016_2017,Stoke,Bournemouth,14.0,14.0,1,1,0,0,0.0,0,0
2016_2017,Sunderland,Hull,14.0,13.0,1,1,0,0,1.0,0,0
2016_2017,Tottenham,West Ham,13.0,14.0,1,1,0,0,-1.0,0,0
2016_2017,Watford,Leicester,13.0,13.0,1,1,0,0,0.0,0,0
2016_2017,Middlesbrough,Chelsea,15.0,15.0,0,0,0,0,0.0,0,0
2016_2017,West Brom,Burnley,15.0,16.0,0,0,0,0,-1.0,0,0
2016_2017,Burnley,Man City,5.0,3.0,1,2,0,1,2.0,-1,-1
2016_2017,Chelsea,Tottenham,6.0,4.0,1,2,0,1,2.0,-1,-1
2016_2017,Hull,West Brom,7.0,5.0,1,1,0,0,2.0,0,0
2016_2017,Leicester,Middlesbrough,4.0,6.0,2,1,1,0,-2.0,1,1
2016_2017,Liverpool,Sunderland,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Swansea,Crystal Palace,7.0,7.0,1,1,0,0,0.0,0,0
2016_2017,Arsenal,Bournemouth,4.0,8.0,2,1,1,0,-4.0,1,1
2016_2017,Man United,West Ham,3.0,8.0,2,1,1,0,-5.0,1,1
2016_2017,Southampton,Everton,3.0,8.0,2,1,1,0,-5.0,1,1
2016_2017,Watford,Stoke,8.0,8.0,1,1,0,0,0.0,0,0
2016_2017,Crystal Palace,Southampton,7.0,3.0,2,4,0,0,4.0,-2,0
2016_2017,Man City,Chelsea,7.0,7.0,3,2,0,0,0.0,1,0
2016_2017,Stoke,Burnley,6.0,7.0,2,2,0,0,-1.0,0,0
2016_2017,Sunderland,Leicester,7.0,7.0,2,3,0,0,0.0,-1,0
2016_2017,Tottenham,Swansea,7.0,7.0,3,2,0,0,0.0,1,0
2016_2017,West Brom,Watford,7.0,6.0,2,2,0,0,1.0,0,0
2016_2017,West Ham,Arsenal,3.0,3.0,3,4,0,0,0.0,-1,0
2016_2017,Bournemouth,Liverpool,7.0,5.0,1,2,0,0,2.0,-1,0
