Season,Date,HomeTeam,AwayTeam,home_xg_xg_for_last_5,home_xg_xg_against_last_5,home_xg_xg_diff_last_5,home_xg_xg_for_last_10,home_xg_xg_against_last_10,home_xg_xg_diff_last_10,home_xg_xg_perf_for_last_10,home_xg_xg_perf_against_last_10,home_xg_season_xg_for_pm,home_xg_season_xg_against_pm,home_xg_season_xg_diff_pm,away_xg_xg_for_last_5,away_xg_xg_against_last_5,away_xg_xg_diff_last_5,away_xg_xg_for_last_10,away_xg_xg_against_last_10,away_xg_xg_diff_last_10,away_xg_xg_perf_for_last_10,away_xg_xg_perf_against_last_10,away_xg_season_xg_for_pm,away_xg_season_xg_against_pm,away_xg_season_xg_diff_pm,diff_xg_xg_for_last_5,diff_xg_xg_against_last_5,diff_xg_xg_diff_last_5,diff_xg_xg_for_last_10,diff_xg_xg_against_last_10,diff_xg_xg_diff_last_10,diff_xg_xg_perf_for_last_10,diff_xg_xg_perf_against_last_10,diff_xg_season_xg_for_pm,diff_xg_season_xg_against_pm,diff_xg_season_xg_diff_pm,understat_home_prob,understat_draw_prob,understat_away_prob,home_elo,away_elo,elo_diff,elo_expected_home,home_squad_value_m,home_value_rank,home_value_share,away_squad_value_m,away_value_rank,away_value_share,value_diff_m,value_rank_diff,value_log_ratio
2016_2017,2016-08-27,Hull,Man United,1.4634999999999998,1.7985,-0.3350000000000001,1.4634999999999998,1.7985,-0.3350000000000001,0.5365000000000001,-1.2985,1.4635,1.7985,-0.3350000000000002,1.6385,0.5680000000000001,1.0705,1.6385,0.5680000000000001,1.0705,0.8614999999999999,-0.068,1.6385000000000003,0.5680000000000001,1.0704999999999998,-0.17500000000000027,1.2305,-1.4055,-0.17500000000000027,1.2305,-1.4055,-0.32499999999999984,-1.2305,-0.17500000000000027,1.2305,-1.4055,0.011,0.062,0.926,1615.38049316,1801.68688965,-186.30639649,0.2549344347244626,135.85,15,0.0231,531.45,5,0.0904,-395.6,-10,-1.364057784107234
2016_2017,2016-08-27,Leicester,Swansea,1.505,0.631,0.874,1.505,0.631,0.874,-1.005,0.369,1.5050000000000001,0.631,0.8740000000000001,1.431,1.6179999999999999,-0.18699999999999983,1.431,1.6179999999999999,-0.18699999999999983,-0.931,-0.6179999999999999,1.431,1.6179999999999997,-0.18699999999999983,0.07399999999999984,-0.9869999999999999,1.061,0.07399999999999984,-0.9869999999999999,1.061,-0.07399999999999984,0.9869999999999999,0.07400000000000007,-0.9869999999999997,1.061,0.913,0.072,0.015,1795.515625,1676.35791016,119.15771483999993,0.6650602436765872,218.65,11,0.0372,157.1,14,0.0267,61.55000000000001,3,0.33058973259735425
2016_2017,2016-08-27,Southampton,Sunderland,0.775,0.773,0.0020000000000000018,0.775,0.773,0.0020000000000000018,-0.275,0.727,0.7750000000000001,0.7730000000000001,0.0020000000000000018,1.2814999999999999,1.405,-0.12350000000000005,1.2814999999999999,1.405,-0.12350000000000005,-0.2815,0.595,1.2814999999999999,1.405,-0.12350000000000005,-0.5064999999999998,-0.632,0.12550000000000006,-0.5064999999999998,-0.632,0.12550000000000006,0.00649999999999995,0.132,-0.5064999999999997,-0.6319999999999999,0.12550000000000006,0.121,0.257,0.622,1761.55285645,1638.6328125,122.92004395000004,0.6698672367193446,263.75,9,0.0449,132.0,16,0.0225,131.75,7,0.6921997622039053
2016_2017,2016-08-27,Tottenham,Liverpool,1.6894999999999998,0.5740000000000001,1.1155,1.6894999999999998,0.5740000000000001,1.1155,-0.6894999999999999,-0.07400000000000001,1.6894999999999998,0.574,1.1155,1.299,0.69,0.609,1.299,0.69,0.609,0.7010000000000001,1.81,1.299,0.69,0.609,0.39049999999999985,-0.11599999999999988,0.5065,0.39049999999999985,-0.11599999999999988,0.5065,-1.3904999999999998,-1.8840000000000001,0.39049999999999985,-0.11599999999999999,0.5065,0.067,0.17,0.762,1802.67358398,1792.01550293,10.658081050000192,0.5153334020961619,543.65,3,0.0925,425.65,6,0.0724,118.0,3,0.24468824511369242
2016_2017,2016-08-27,Watford,Arsenal,0.49250000000000005,1.3465,-0.8540000000000001,0.49250000000000005,1.3465,-0.8540000000000001,0.5075000000000001,0.15349999999999997,0.4924999999999998,1.3465,-0.854,0.852,1.1065,-0.25450000000000006,0.852,1.1065,-0.25450000000000006,0.648,0.8935000000000001,0.8520000000000001,1.1065,-0.25450000000000006,-0.35949999999999993,0.24,-0.5995,-0.35949999999999993,0.24,-0.5995,-0.14049999999999996,-0.7400000000000001,-0.35950000000000026,0.24,-0.5994999999999999,0.138,0.218,0.644,1621.02124023,1827.30688477,-206.2856445399998,0.2337107221975813,175.65,13,0.0299,542.0,4,0.0922,-366.35,-9,-1.12677262272781
2016_2017,2016-08-28,Man City,West Ham,2.0635000000000003,1.205,0.8585000000000002,2.0635000000000003,1.205,0.8585000000000002,0.9364999999999999,-0.20499999999999996,2.0635,1.2049999999999998,0.8585,1.0695000000000001,0.9265,0.14300000000000002,1.0695000000000001,0.9265,0.14300000000000002,-0.0695,0.07350000000000001,1.0695,0.9264999999999999,0.14300000000000002,0.9940000000000002,0.2785000000000001,0.7155000000000001,0.9940000000000002,0.2785000000000001,0.7155000000000001,1.0059999999999998,-0.27849999999999997,0.994,0.27849999999999997,0.7155,0.831,0.114,0.056,1861.15307617,1699.3236084,161.82946777000006,0.7173927430427158,576.5,2,0.0981,273.05,8,0.0464,303.45,6,0.747320411110951
2016_2017,2016-08-28,West Brom,Middlesbrough,1.352,1.4144999999999999,-0.06249999999999989,1.352,1.4144999999999999,-0.06249999999999989,-0.3520000000000001,-0.4145,1.352,1.4144999999999999,-0.06249999999999989,1.33,0.975,0.355,1.33,0.975,0.355,0.17000000000000004,0.025000000000000022,1.33,0.9749999999999999,0.355,0.02200000000000002,0.4394999999999999,-0.41749999999999987,0.02200000000000002,0.4394999999999999,-0.41749999999999987,-0.5220000000000001,-0.4395,0.02200000000000002,0.4395,-0.41749999999999987,0.383,0.444,0.173,1643.36547852,1604.01379395,39.35168456999986,0.5563906951775229,123.2,19,0.021,128.8,18,0.0219,-5.6000000000000085,-1,-0.04445176257083392
2016_2017,2016-09-10,Arsenal,Southampton,1.2456666666666667,1.0970000000000002,0.14866666666666659,1.2456666666666667,1.0970000000000002,0.14866666666666659,0.7543333333333333,0.5696666666666667,1.2456666666666665,1.0970000000000002,0.14866666666666659,0.7213333333333334,0.9790000000000001,-0.25766666666666665,0.7213333333333334,0.9790000000000001,-0.25766666666666665,-0.054666666666666676,0.35433333333333333,0.7213333333333333,0.979,-0.25766666666666665,0.5243333333333333,0.1180000000000001,0.4063333333333332,0.5243333333333333,0.1180000000000001,0.4063333333333332,0.8089999999999999,0.21533333333333332,0.5243333333333332,0.11800000000000022,0.4063333333333332,0.552,0.262,0.186,1833.49438477,1756.80163574,76.69274902999996,0.6086113788391494,542.0,4,0.0922,263.75,9,0.0449,278.25,5,0.72026431664937
2016_2017,2016-09-10,Bournemouth,West Brom,0.63,2.087666666666667,-1.4576666666666664,0.63,2.087666666666667,-1.4576666666666664,0.03666666666666666,-0.421,0.6299999999999999,2.087666666666667,-1.4576666666666664,1.1336666666666668,1.0753333333333333,0.05833333333333338,1.1336666666666668,1.0753333333333333,0.05833333333333338,-0.4670000000000001,-0.4086666666666667,1.1336666666666668,1.0753333333333333,0.05833333333333338,-0.5036666666666668,1.0123333333333335,-1.5159999999999998,-0.5036666666666668,1.0123333333333335,-1.5159999999999998,0.5036666666666667,-0.012333333333333307,-0.5036666666666669,1.0123333333333335,-1.5159999999999998,0.204,0.287,0.509,1607.28112793,1640.58666992,-33.305541990000165,0.4522157511982529,131.6,17,0.0224,123.2,19,0.021,8.399999999999991,2,0.06595796779179737
2016_2017,2016-09-10,Burnley,Hull,0.47700000000000004,1.7726666666666666,-1.2956666666666665,0.47700000000000004,1.7726666666666666,-1.2956666666666665,0.18966666666666673,-0.43933333333333335,0.4769999999999999,1.7726666666666666,-1.2956666666666667,1.0653333333333335,2.023,-0.9576666666666668,1.0653333333333335,2.023,-0.9576666666666668,0.26800000000000007,-1.3563333333333334,1.0653333333333332,2.023,-0.9576666666666666,-0.5883333333333334,-0.2503333333333335,-0.33799999999999975,-0.5883333333333334,-0.2503333333333335,-0.33799999999999975,-0.07833333333333334,0.917,-0.5883333333333334,-0.2503333333333335,-0.3380000000000002,0.165,0.362,0.473,1635.61877441,1610.40136719,25.21740722000004,0.5362271726815725,107.18,20,0.0182,135.85,15,0.0231,-28.669999999999987,-5,-0.2370416718056524
