MatchID,Season,Date,Time,HomeTeam,AwayTeam,target_result,target_result_encoded,target_home_win,target_draw,target_away_win,home_elo,away_elo,elo_diff,elo_expected_home,h2h_home_ppg,h2h_home_goal_diff,h2h_meetings,home_promoted,away_promoted,home_ewm_points,home_ewm_goal_diff,home_ewm_goals_for,home_ewm_goals_against,home_ewm_conversion,home_ewm_shot_accuracy,home_ewm_def_leakiness,home_season_ppg,home_season_rank_pct,home_season_matches_played,home_win_streak,home_unbeaten_streak,home_winless_streak,away_ewm_points,away_ewm_goal_diff,away_ewm_goals_for,away_ewm_goals_against,away_ewm_conversion,away_ewm_shot_accuracy,away_ewm_def_leakiness,away_season_ppg,away_season_rank_pct,away_season_matches_played,away_win_streak,away_unbeaten_streak,away_winless_streak,diff_ewm_points,diff_ewm_goal_diff,diff_ewm_conversion,diff_ewm_shot_accuracy,diff_ewm_def_leakiness,diff_season_ppg,diff_season_rank_pct,diff_win_streak,diff_unbeaten_streak,diff_winless_streak
23,2016_2017,2016-08-27,,Hull,Man United,A,0,0,0,1,1525.9980749781555,1529.2005706248117,-3.202495646656189,0.5810177417730095,1.35,0.0,0,0,0,3.0,1.5346019613807635,2.0,0.46539803861923645,,,,3.0,0.9375,2,2,2,0,3.0,2.0,2.4653980386192367,0.46539803861923645,,,,3.0,0.9375,2,2,2,0,0.0,-0.46539803861923645,,,,0.0,0.0,0,0,0
24,2016_2017,2016-08-27,,Leicester,Swansea,H,2,1,0,0,1489.904607872375,1494.0019250218445,-4.097317149469518,0.5797632799337331,1.35,0.0,0,0,0,0.5346019613807635,-0.46539803861923645,0.46539803861923645,0.9307960772384729,,,,0.5,0.375,2,0,1,2,1.3961941158577094,-0.6038058841422905,0.46539803861923645,1.069203922761527,,,,1.5,0.625,2,0,0,1,-0.8615921544769458,0.13840784552305407,,,,-1.0,-0.25,0,1,1
25,2016_2017,2016-08-27,,Southampton,Sunderland,D,1,0,1,0,1486.6544161619065,1480.1844266049966,6.469989556909923,0.5945077564288068,1.35,0.0,0,0,0,0.46539803861923645,-1.069203922761527,0.46539803861923645,1.5346019613807635,,,,0.5,0.375,2,0,0,2,0.0,-1.0,1.0,2.0,,,,0.0,0.125,2,0,0,2,0.46539803861923645,-0.06920392276152709,,,,0.5,0.25,0,0,0
26,2016_2017,2016-08-27,,Tottenham,Liverpool,D,1,0,1,0,1509.6276813344298,1498.2834516381874,11.344229696242337,0.601253412119626,1.35,0.0,0,0,0,2.069203922761527,0.5346019613807635,1.0,0.46539803861923645,,,,2.0,0.78125,2,1,2,0,1.3961941158577094,-0.6038058841422905,1.8615921544769458,2.4653980386192367,,,,1.5,0.625,2,0,0,1,0.6730098069038177,1.1384078455230542,,,,0.5,0.15625,1,2,-1
27,2016_2017,2016-08-27,,Watford,Arsenal,A,0,0,0,1,1490.1844266049966,1490.095392127625,0.08903447737156966,0.585623057571299,1.35,0.0,0,0,0,0.46539803861923645,-0.5346019613807635,1.0,1.5346019613807635,,,,0.5,0.375,2,0,0,2,0.5346019613807635,-0.46539803861923645,1.3961941158577094,1.8615921544769458,,,,0.5,0.375,2,0,1,2,-0.06920392276152709,-0.06920392276152709,,,,0.0,0.0,0,-1,0
28,2016_2017,2016-08-28,,Man City,West Ham,H,2,1,0,0,1528.459733621333,1499.7420902853153,28.717643336017773,0.6249705113671381,1.35,0.0,0,0,0,3.0,2.069203922761527,3.069203922761527,1.0,,,,3.0,1.0,2,2,2,0,1.6038058841422906,0.06920392276152704,1.0,0.9307960772384729,,,,1.5,0.375,2,1,1,0,1.3961941158577094,2.0,,,,1.5,0.625,1,1,0
29,2016_2017,2016-08-28,,West Brom,Middlesbrough,D,1,0,1,0,1499.6276813344298,1509.8155733950034,-10.187892060573631,0.5711982222223044,1.35,0.0,0,0,0,1.3961941158577094,-0.06920392276152704,1.0,1.069203922761527,,,,1.5,0.375,2,0,0,1,2.069203922761527,0.5346019613807635,1.5346019613807635,1.0,,,,2.0,0.75,2,1,2,0,-0.6730098069038177,-0.6038058841422906,,,,-0.5,-0.375,-1,-2,1
30,2016_2017,2016-09-10,,Arsenal,Southampton,H,2,1,0,0,1507.664083854764,1484.7642610333303,22.899822821433645,0.617088779527794,1.35,0.0,0,0,0,1.4725831441233306,0.4725831441233306,2.006375399582503,1.5337922554591725,0.3720049420828787,0.5034271621583929,0.3440731677248411,1.3333333333333333,0.59375,3,1,2,0,0.6687917998608344,-0.6624164002783313,0.6687917998608344,1.3312082001391656,0.1421786818536143,0.2683726483269955,0.49585424714702103,0.6666666666666666,0.3125,3,0,1,3,0.8037913442624962,1.1349995444016618,0.22982626022926442,0.23505451383139742,-0.15178107942217994,0.6666666666666666,0.28125,1,1,-3
31,2016_2017,2016-09-10,,Bournemouth,West Brom,H,2,1,0,0,1476.2791807946087,1498.2037168899838,-21.92453609537506,0.5545766839273278,1.35,0.0,0,0,0,0.3804583146613883,-0.9078751705380578,0.6687917998608344,1.576666970398892,0.1820165356105663,0.40621082598543495,0.3506722809495399,0.3333333333333333,0.15625,3,0,1,3,1.2454587702597264,-0.042874714939719574,0.6195416853386116,0.6624164002783313,0.21615895487993414,0.2412856602676633,0.15533161528001763,1.3333333333333333,0.59375,3,0,1,2,-0.8650004555983382,-0.8650004555983382,-0.03414241926936784,0.16492516571777166,0.19534066566952227,-1.0,-0.4375,0,0,1
32,2016_2017,2016-09-10,,Burnley,Hull,D,1,0,1,0,1488.0853774542345,1514.3777201426954,-26.29234268846085,0.5483575902191173,1.35,0.0,0,0,0,0.9936246004174969,-0.7672920289052797,0.6624164002783313,1.429708429183611,0.41674489536077025,0.25580227450696824,0.17202355181178702,1.0,0.40625,3,0,0,1,1.8586250560158348,0.570291570816389,1.2390833706772233,0.6687917998608344,0.3576805474148344,0.3213373512861147,0.11581028525335238,2.0,0.875,3,0,0,1,-0.8650004555983379,-1.3375835997216687,0.05906434794593585,-0.06553507677914644,0.056213266558434644,-1.0,-0.46875,0,0,0
